date,region,state,cases,deaths
2020-03-16,Sul,Paraná,6,0
2020-03-16,Sul,Rio Grande do Sul,6,0
2020-03-16,Sul,Santa Catarina,7,0
2020-03-17,Centro-Oeste,Distrito Federal,22,0
2020-03-17,Centro-Oeste,Goiás,6,0
2020-03-17,Centro-Oeste,Mato Grosso do Sul,4,0
2020-03-17,Nordeste,Alagoas,1,0
2020-03-17,Nordeste,Bahia,3,0
2020-03-17,Nordeste,Ceará,5,0
2020-03-17,Nordeste,Pernambuco,16,0
2020-03-17,Nordeste,Rio Grande do Norte,1,0
2020-03-17,Nordeste,Sergipe,4,0
2020-03-17,Norte,Amazonas,1,0
2020-03-17,Sudeste,Espírito Santo,1,0
2020-03-17,Sudeste,Minas Gerais,7,0
2020-03-17,Sudeste,Rio de Janeiro,33,0
2020-03-17,Sudeste,São Paulo,164,1
2020-03-17,Sul,Paraná,6,0
2020-03-17,Sul,Rio Grande do Sul,10,0
2020-03-17,Sul,Santa Catarina,7,0
2020-03-18,Centro-Oeste,Distrito Federal,26,0
2020-03-18,Centro-Oeste,Goiás,8,0
2020-03-18,Centro-Oeste,Mato Grosso do Sul,7,0
2020-03-18,Nordeste,Alagoas,1,0
2020-03-18,Nordeste,Bahia,3,0
2020-03-18,Nordeste,Ceará,9,0
2020-03-18,Nordeste,Pernambuco,16,0
2020-03-18,Nordeste,Rio Grande do Norte,1,0
2020-03-18,Nordeste,Sergipe,5,0
2020-03-18,Norte,Amazonas,1,0
2020-03-18,Sudeste,Espírito Santo,9,0
2020-03-18,Sudeste,Minas Gerais,15,0
2020-03-18,Sudeste,Rio de Janeiro,45,0
2020-03-18,Sudeste,São Paulo,240,4
2020-03-18,Sul,Paraná,13,0
2020-03-18,Sul,Rio Grande do Sul,19,0
2020-03-18,Sul,Santa Catarina,10,0
2020-03-19,Centro-Oeste,Distrito Federal,42,0
2020-03-19,Centro-Oeste,Goiás,12,0
2020-03-19,Centro-Oeste,Mato Grosso do Sul,7,0
2020-03-19,Nordeste,Alagoas,4,0
2020-03-19,Nordeste,Bahia,30,0
